movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,relief,1
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,neutral,6
Harry Potter and the Chamber of Secrets,Cornelius Fudge,63,happiness,3
Harry Potter and the Chamber of Secrets,Aragog,64,hate,1
Harry Potter and the Chamber of Secrets,Aragog,64,neutral,4
Harry Potter and the Chamber of Secrets,Aragog,64,sadness,1
Harry Potter and the Chamber of Secrets,Aragog,64,surprise,1
Harry Potter and the Chamber of Secrets,Aragog,64,worry,4
Harry Potter and the Chamber of Secrets,Spider attack,65,empty,1
Harry Potter and the Chamber of Secrets,Spider attack,65,neutral,2
Harry Potter and the Chamber of Secrets,Spider attack,65,sadness,1
Harry Potter and the Chamber of Secrets,Spider attack,65,worry,3
Harry Potter and the Chamber of Secrets,Missing,66,surprise,2
Harry Potter and the Chamber of Secrets,Missing,66,enthusiasm,1
Harry Potter and the Chamber of Secrets,Missing,66,hate,2
Harry Potter and the Chamber of Secrets,Missing,66,neutral,2
Harry Potter and the Chamber of Secrets,Missing,66,relief,1
Harry Potter and the Chamber of Secrets,Missing,66,sadness,5
Harry Potter and the Chamber of Secrets,Missing,66,worry,6
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,relief,1
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,sadness,2
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,empty,1
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,enthusiasm,1
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,fun,1
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,happiness,1
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,neutral,3
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,worry,8
Harry Potter and the Chamber of Secrets,Chamber of Secrets,67,surprise,2
Harry Potter and the Chamber of Secrets,Backfire,68,sadness,2
Harry Potter and the Chamber of Secrets,Backfire,68,enthusiasm,2
Harry Potter and the Chamber of Secrets,Backfire,68,worry,2
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,relief,3
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,happiness,2
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,love,1
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,sadness,2
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,neutral,7
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,worry,7
Harry Potter and the Chamber of Secrets,Heir of Slytherin,69,surprise,2
Harry Potter and the Chamber of Secrets,The Basilisk,70,neutral,2
Harry Potter and the Chamber of Secrets,The Basilisk,70,worry,1
Harry Potter and the Chamber of Secrets,Healing powers,71,worry,1
Harry Potter and the Chamber of Secrets,Healing powers,71,surprise,1
Harry Potter and the Chamber of Secrets,Healing powers,71,relief,1
Harry Potter and the Chamber of Secrets,Healing powers,71,love,1
Harry Potter and the Chamber of Secrets,Out of the hat,72,worry,1
Harry Potter and the Chamber of Secrets,Out of the hat,72,surprise,1
Harry Potter and the Chamber of Secrets,Out of the hat,72,neutral,7
Harry Potter and the Chamber of Secrets,Out of the hat,72,happiness,2
Harry Potter and the Chamber of Secrets,Dobby's reward,73,worry,4
Harry Potter and the Chamber of Secrets,Dobby's reward,73,sadness,1
Harry Potter and the Chamber of Secrets,Dobby's reward,73,relief,1
Harry Potter and the Chamber of Secrets,Dobby's reward,73,neutral,13
Harry Potter and the Chamber of Secrets,Dobby's reward,73,empty,1
Harry Potter and the Chamber of Secrets,Welcome back,74,neutral,1
Harry Potter and the Chamber of Secrets,Welcome back,74,happiness,5
Harry Potter and the Chamber of Secrets,Welcome back,74,love,1
Harry Potter and the Chamber of Secrets,Welcome back,74,relief,1
Harry Potter and the Chamber of Secrets,Welcome back,74,sadness,1
